<<<<<<< HEAD
incident_id,player_id,employee_id,offense_id,description,date
1,822,761,6,"A player persistently made inappropriate remarks towards a female dealer leading to multiple complaints.",5/14/2019
2,601,772,6,"Repeated instances of unwanted advances towards a staff member prompting an official warning.",3/12/2020
3,84,479,1,"A player stole another's backpack during a crowded event resulting in immediate removal from the premises.",11/9/2018
4,926,574,9,"Caught trespassing into the VIP lounge without authorization after hours leading to a ban.",6/20/2021
5,878,342,3,"An altercation broke out between two players over a game rule dispute escalating into a physical fight.",2/3/2020
6,230,307,2,"A patron vandalized a gaming machine out of frustration after losing a large bet.",8/28/2017
7,880,833,9,"Accessed a restricted area to retrieve personal items after being warned to stay away.",9/15/2021
8,503,497,4,"Filed a fraudulent claim for jackpot winnings which was later investigated and dismissed.",1/4/2022
9,285,67,1,"Caught stealing gaming chips from another player's stack during a high-stakes game.",7/18/2023
10,992,636,9,"Unauthorized entry into the casino's staff-only area in an attempt to steal cash from the register.",3/30/2024
11,619,463,2,"Player made derogatory comments about other patrons resulting in multiple harassment claims.",5/12/2023
12,399,875,5,"A player was caught cheating during a poker game and was subsequently banned.",2/15/2022
13,712,712,3,"Multiple reports of harassment towards a waitress led to immediate expulsion from the venue.",8/19/2021
14,895,182,5,"A player attempted to enter the casino without proper identification and was escorted out.",4/28/2023
15,178,370,7,"A group was caught card counting during a blackjack game prompting a casino ban.",1/11/2024
16,575,903,4,"A player was found vandalizing a restroom facility during the busy hours.",6/5/2022
17,404,288,5,"Unauthorized access to restricted gaming areas was reported leading to a temporary ban.",9/3/2023
18,532,220,8,"A player attempted to deceive staff regarding age and was banned after verification.",7/26/2018
19,657,973,3,"After multiple offenses of inappropriate behavior a player was permanently banned.",10/10/2022
20,414,972,3,"Vandalism to a gaming machine was reported and resulted in the player's expulsion.",12/15/2023
21,977,752,3,"An incident of cheating was recorded during a poker tournament and led to disqualification.",5/22/2024
22,384,384,2,"Repeated offenses of aggressive behavior resulted in a formal complaint and ban.",3/18/2021
23,969,896,9,"Trespassing was reported after a player entered a staff-only area.",11/25/2022
24,529,542,2,"A player was found making threats towards another customer leading to police involvement.",8/14/2020
25,413,413,5,"Attempts to alter a gaming machine were reported and resulted in a permanent ban.",10/5/2023
26,379,134,8,"A player was reported for card counting which led to immediate eviction.",1/30/2024
27,388,783,9,"Unwanted sexual advances towards staff resulted in immediate dismissal from the premises.",7/12/2022
28,788,121,3,"A patron was caught stealing chips from the table resulting in arrest.",4/20/2023
29,444,229,4,"Incidents of harassment were reported against a dealer leading to a formal investigation.",9/8/2021
30,771,394,2,"A player was accused of cheating during a tournament and faced disqualification.",12/4/2019
31,401,561,1,"Reports of aggressive behavior led to the player's expulsion from the casino.",11/18/2020
32,197,518,1,"Found in a restricted area attempting to take personal items from staff.",6/30/2023
33,681,156,2,"A player was caught attempting to use fake identification to enter the casino.",3/9/2024
34,249,741,5,"An altercation over a gambling dispute resulted in multiple injuries.",5/7/2023
35,754,513,5,"Reports of damaging casino property led to an investigation and subsequent ban.",2/11/2022
36,393,551,9,"A player was reported for creating disturbances leading to multiple complaints.",1/25/2023
37,117,386,5,"A patron made threats against another customer resulting in police involvement.",8/23/2021
38,371,407,7,"A player was caught attempting to cheat during a high-stakes game.",10/14/2022
39,672,783,6,"Incidents of vandalism were reported against gaming equipment.",7/8/2021
40,138,161,2,"Repeated offenses of harassment led to a formal complaint against a player.",3/15/2023
41,228,270,4,"A player was caught using a fake ID to gain entry into the casino.",11/27/2022
42,658,611,5,"Reports of cheating during card games led to immediate eviction from the premises.",2/3/2023
43,358,170,3,"A patron was found stealing chips from the poker table during a tournament.",6/29/2021
44,268,191,1,"Attempts to alter the outcome of a game through deception led to disqualification.",4/19/2020
45,413,756,6,"A player was caught trespassing in restricted areas leading to a permanent ban.",12/10/2022
46,554,347,8,"Unwanted behavior towards staff resulted in multiple complaints and ban.",5/1/2023
47,294,346,6,"Theft of gaming chips from another player during a high-stakes game.",3/7/2024
48,484,736,7,"Aggressive behavior towards a staff member led to formal complaints.",1/14/2022
49,870,365,1,"Found in a restricted area without authorization leading to an immediate ban.",8/2/2023
50,999,999,9,"Vandalism of casino property resulted in a permanent expulsion from the casino.",10/16/2024
=======
incident_id,player_id,employe_id,offense_id
1,822,761,6
2,601,772,6
3,84,479,1
4,926,574,9
5,878,342,3
6,230,307,2
7,880,833,9
8,503,497,4
9,285,67,1
10,992,636,9
11,619,463,2
12,399,875,5
13,712,712,3
14,895,182,5
15,178,370,7
16,575,903,4
17,404,288,5
18,532,220,8
19,657,973,3
20,414,972,3
21,977,752,3
22,384,384,2
23,969,896,9
24,529,542,2
25,413,413,5
26,379,134,8
27,388,783,9
28,788,121,3
29,444,229,4
30,771,394,2
31,401,561,1
32,197,518,1
33,681,156,2
34,249,741,5
35,754,513,5
36,393,551,9
37,117,386,5
38,371,407,7
39,672,783,6
40,138,161,2
41,228,270,4
42,658,611,5
43,358,170,3
44,268,191,1
45,413,756,6
46,554,347,8
47,294,346,6
48,484,736,7
49,870,365,1
50,292,745,2
51,136,346,3
52,998,710,1
53,137,653,3
54,860,657,7
55,501,13,3
56,411,598,1
57,429,707,9
58,12,605,7
59,36,754,6
60,637,114,2
61,514,382,8
62,198,913,4
63,23,156,7
64,951,706,9
65,685,801,7
66,971,742,9
67,895,585,3
68,271,904,1
69,685,597,5
70,608,822,9
71,761,95,9
72,645,509,5
73,644,172,4
74,853,221,9
75,370,495,2
76,552,486,2
77,121,402,9
78,646,681,8
79,513,73,2
80,135,636,7
81,468,947,8
82,949,30,6
83,752,850,4
84,336,417,4
85,164,186,7
86,463,807,1
87,812,760,2
88,240,107,3
89,97,412,1
90,837,979,3
91,63,112,6
92,807,972,9
93,87,528,2
94,217,925,9
95,991,433,4
96,993,765,8
97,421,383,2
98,764,87,4
99,541,22,5
100,53,309,4
101,738,261,7
102,552,75,6
103,87,284,1
104,579,209,4
105,424,937,6
106,51,916,7
107,554,79,3
108,706,890,4
109,466,245,6
110,71,696,2
111,393,396,1
112,373,371,7
113,708,408,4
114,61,85,6
115,178,180,4
116,198,371,7
117,890,724,5
118,624,507,4
119,441,716,7
120,191,405,4
121,307,755,1
122,765,152,8
123,200,959,8
124,622,27,8
125,452,640,4
126,950,580,5
127,2,937,3
128,294,61,8
129,726,53,2
130,343,242,3
131,251,781,3
132,92,456,1
133,907,661,7
134,957,366,8
135,311,369,3
136,144,452,2
137,646,181,9
138,588,859,6
139,432,630,7
140,109,48,2
141,5,258,3
142,987,263,7
143,252,258,2
144,477,873,5
145,270,300,4
146,768,358,8
147,34,684,9
148,754,944,7
149,965,117,8
150,896,401,7
151,720,874,1
152,254,815,9
153,743,161,4
154,258,900,5
155,693,881,5
156,183,644,8
157,444,639,1
158,341,322,2
159,269,729,9
160,961,793,9
161,477,913,9
162,700,470,5
163,231,192,6
164,790,709,5
165,771,304,1
166,397,991,3
167,466,918,4
168,446,746,4
169,661,501,8
170,172,436,9
171,278,245,5
172,405,482,6
173,214,448,1
174,685,64,3
175,925,252,8
176,952,998,6
177,296,936,3
178,864,756,1
179,467,474,1
180,805,381,4
181,211,916,6
182,235,377,1
183,130,466,2
184,847,145,9
185,89,901,7
186,632,806,8
187,495,141,3
188,276,273,8
189,276,762,5
190,687,494,8
191,179,915,5
192,816,553,6
193,78,528,7
194,132,673,9
195,274,16,1
196,15,677,6
197,57,877,7
198,47,78,4
199,924,629,2
200,938,114,6
201,213,802,6
202,845,262,9
203,715,892,7
204,358,607,6
205,165,237,8
206,970,122,7
207,681,56,5
208,968,320,6
209,899,490,7
210,483,110,9
211,399,425,3
212,481,869,3
213,185,137,6
214,708,903,9
215,877,964,6
216,432,690,2
217,567,274,6
218,546,223,8
219,684,729,6
220,909,497,4
221,424,515,3
222,445,622,9
223,98,210,4
224,725,604,8
225,882,512,7
226,109,83,8
227,821,916,7
228,77,130,4
229,130,467,2
230,542,735,1
231,498,740,4
232,110,794,2
233,84,285,3
234,590,642,4
235,276,303,6
236,802,680,5
237,630,135,7
238,134,669,5
239,270,457,8
240,265,801,5
241,568,160,6
242,220,863,4
243,234,147,8
244,344,276,4
245,171,212,9
246,592,856,2
247,610,723,4
248,332,718,3
249,910,689,5
250,469,792,9
251,462,741,9
252,159,755,7
253,869,837,5
254,136,186,7
255,870,695,1
256,448,351,7
257,812,241,1
258,764,380,8
259,655,215,8
260,159,754,6
261,563,252,5
262,878,885,8
263,67,860,2
264,307,27,6
265,855,602,6
266,870,815,7
267,299,857,2
