transaction_id,fund_id,amount
1,654,"$36,717.49 "
2,896,"$20,468.79 "
3,810,"$27,477.94 "
4,435,"$37,517.97 "
5,748,"$61,711.05 "
6,197,"$10,142.33 "
7,4,"$50,342.72 "
8,752,"$57,933.57 "
9,955,"$84,201.19 "
10,633,"$80,565.20 "
11,351,"$51,418.27 "
12,252,"$56,548.59 "
13,169,"$10,515.83 "
14,331,"$36,086.21 "
15,466,"$46,417.10 "
16,62,"$70,946.22 "
17,490,"$77,935.48 "
18,828,"$48,150.99 "
19,87,"$61,501.97 "
20,509,"$77,887.22 "
21,857,"$70,635.43 "
22,795,"$31,502.94 "
23,33,"$30,836.73 "
24,194,"$35,270.93 "
25,244,"$22,293.58 "
26,450,"$55,235.14 "
27,554,"$56,227.09 "
28,860,"$74,959.07 "
29,558,"$44,273.29 "
30,4,$602.57 
31,116,"$65,292.26 "
32,831,"$74,474.59 "
33,523,"$36,355.70 "
34,686,"$11,055.11 "
35,842,"$36,804.65 "
36,608,"$82,568.99 "
37,389,"$60,053.82 "
38,32,"$74,509.77 "
39,706,"$7,136.72 "
40,632,"$71,692.38 "
41,387,"$75,968.92 "
42,3,"$20,868.23 "
43,443,"$24,384.03 "
44,477,"$40,022.81 "
45,418,"$38,161.75 "
46,619,"$34,088.59 "
47,393,"$71,677.05 "
48,600,"$51,970.18 "
49,973,"$45,128.88 "
50,383,"$26,623.58 "
51,63,"$71,197.29 "
52,224,"$7,055.35 "
53,522,"$27,663.26 "
54,827,"$55,815.90 "
55,49,"$40,881.31 "
56,286,"$80,971.40 "
57,772,"$67,134.05 "
58,436,"$38,478.61 "
59,238,"$51,696.96 "
60,62,"$25,613.10 "
61,492,"$42,389.94 "
62,637,"$68,245.78 "
63,778,"$29,338.09 "
64,986,"$38,018.30 "
65,169,"$11,778.05 "
66,709,"$8,290.62 "
67,293,"$47,596.66 "
68,242,"$18,904.71 "
69,495,"$17,516.68 "
70,953,"$72,049.08 "
71,288,"$17,749.58 "
72,526,"$9,225.14 "
73,737,"$29,412.68 "
74,979,"$20,786.20 "
75,583,"$29,298.54 "
76,993,"$14,322.97 "
77,292,"$68,258.21 "
78,365,"$23,149.69 "
79,913,"$50,890.58 "
80,171,"$81,753.64 "
81,368,"$30,929.62 "
82,566,"$37,845.90 "
83,347,"$41,987.61 "
84,47,"$1,716.17 "
85,232,"$14,508.51 "
86,748,"$48,929.25 "
87,711,"$74,296.38 "
88,985,"$72,621.84 "
89,1,"$25,814.94 "
90,265,"$60,668.91 "
91,174,"$28,402.91 "
92,359,"$53,651.81 "
93,458,"$40,514.42 "
94,504,"$13,905.37 "
95,482,"$22,954.37 "
96,161,"$75,598.42 "
97,566,"$79,189.11 "
98,304,"$54,542.83 "
99,946,"$57,386.92 "
100,430,"$62,762.29 "
101,496,"$65,957.14 "
102,995,"$39,919.85 "
103,318,"$36,040.47 "
104,141,"$79,463.07 "
105,833,"$44,464.84 "
106,349,$546.36 
107,284,"$60,911.20 "
108,355,"$67,311.63 "
109,14,"$81,830.40 "
110,47,"$53,569.75 "
111,49,"$65,808.41 "
112,836,"$66,820.75 "
113,534,"$2,068.23 "
114,493,"$57,113.33 "
115,682,"$13,192.49 "
116,434,"$84,685.03 "
117,456,"$16,885.37 "
118,630,"$44,644.11 "
119,941,"$28,467.44 "
120,963,"$83,428.31 "
121,326,"$53,938.97 "
122,617,"$44,650.28 "
123,114,"$42,914.16 "
124,149,"$5,077.11 "
125,420,"$59,951.44 "
126,24,"$56,277.87 "
127,511,"$49,089.40 "
128,9,"$10,428.61 "
129,31,"$24,422.87 "
130,790,"$24,270.24 "
131,160,"$32,936.56 "
132,465,"$9,232.54 "
133,756,"$62,619.42 "
134,790,"$1,474.43 "
135,56,"$62,877.67 "
136,523,"$76,982.07 "
137,754,"$58,063.84 "
138,72,"$60,780.05 "
139,236,"$80,078.85 "
140,471,"$49,755.17 "
141,936,$324.76 
142,774,"$64,516.33 "
143,782,$594.56 
144,739,"$5,085.16 "
145,890,"$56,209.12 "
146,138,"$1,155.23 "
147,565,"$81,539.07 "
148,771,"$76,051.02 "
149,36,"$30,408.93 "
150,492,"$2,117.26 "
151,566,$836.71 
152,290,"$39,248.07 "
153,925,"$37,889.79 "
154,205,"$27,010.96 "
155,355,"$4,637.88 "
156,755,"$71,347.44 "
157,679,"$46,505.00 "
158,827,"$21,668.32 "
159,668,"$59,708.99 "
160,790,"$53,886.59 "
161,63,"$65,349.67 "
162,122,"$80,162.67 "
163,384,"$72,424.53 "
164,832,"$30,751.08 "
165,579,"$28,400.16 "
166,357,"$24,156.47 "
167,582,"$1,486.76 "
168,762,"$74,202.68 "
169,720,"$74,560.76 "
170,504,"$14,271.09 "
171,566,"$32,055.73 "
172,83,"$43,702.70 "
173,697,"$11,098.93 "
174,514,"$23,695.45 "
175,749,"$59,824.53 "
176,885,"$52,710.23 "
177,722,"$64,930.12 "
178,310,"$21,362.52 "
179,222,"$44,072.58 "
180,610,"$52,206.81 "
181,861,"$33,335.12 "
182,453,"$77,369.17 "
183,742,"$69,812.14 "
184,712,"$49,579.46 "
185,846,"$18,892.63 "
186,205,"$65,151.63 "
187,177,"$53,508.39 "
188,82,"$51,661.03 "
189,700,"$54,359.70 "
190,122,"$48,417.06 "
191,106,"$55,568.43 "
192,519,"$33,247.48 "
193,991,"$18,905.68 "
194,95,"$62,985.58 "
195,30,"$83,969.18 "
196,551,"$34,569.13 "
197,685,"$41,336.88 "
198,657,"$29,385.54 "
199,506,"$47,109.28 "
200,606,"$65,988.43 "
201,377,"$52,319.18 "
202,463,"$67,674.32 "
203,234,"$82,548.57 "
204,946,"$30,960.39 "
205,340,"$22,219.30 "
206,789,"$74,987.42 "
207,728,"$5,766.51 "
208,186,"$62,828.42 "
209,251,"$4,904.17 "
210,248,"$48,914.57 "
211,423,"$13,072.54 "
212,741,"$73,312.99 "
213,960,"$64,098.06 "
214,220,"$5,623.27 "
215,937,"$1,433.59 "
216,966,"$36,821.05 "
217,84,"$39,211.21 "
218,205,"$66,167.43 "
219,224,"$44,873.50 "
220,841,"$51,964.91 "
221,550,"$15,151.22 "
222,290,$275.98 
223,97,"$29,178.38 "
224,924,"$41,637.86 "
225,351,"$11,736.06 "
226,989,"$64,426.04 "
227,134,"$46,660.64 "
228,735,"$19,869.33 "
229,546,"$79,149.25 "
230,527,"$81,218.54 "
231,805,"$6,410.41 "
232,449,"$76,728.57 "
233,59,"$45,155.76 "
234,931,"$55,344.93 "
235,985,"$74,279.32 "
236,555,"$72,193.72 "
237,676,"$47,491.63 "
238,584,"$80,096.19 "
239,49,"$39,596.40 "
240,854,"$1,506.37 "
241,669,"$73,492.16 "
242,495,"$38,348.23 "
243,61,"$69,629.89 "
244,742,"$79,008.37 "
245,109,"$76,812.56 "
246,926,"$28,269.83 "
247,869,"$2,704.65 "
248,374,"$70,254.38 "
249,880,"$83,744.07 "
250,828,"$52,550.91 "
251,407,"$16,363.09 "
252,888,"$57,382.51 "
253,423,"$33,703.61 "
254,914,"$70,210.29 "
255,323,"$43,188.89 "
256,606,"$17,774.55 "
257,533,"$35,141.05 "
258,364,"$72,803.56 "
259,390,"$78,393.44 "
